"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-12",,,,,,,"1.00",",,0,1800","3.0",",,0,","0.0",",,0,1800","44",",,0","11",",,0","36",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-13",,,,,,,"0.01",",,0,1800","0.0",",,0,","0.0",",,0,1800","45",",,0","11",",,0","32",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-14",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","37",",,0","18",",,0","29",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-15",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","51",",,0","28",",,0","38",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-16",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","40",",,0","32",",,0","40",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-17",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","45",",,0","35",",,0","39",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-18",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","53",",,0","32",",,0","45",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-19",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","52",",,0","35",",,0","46",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-20",,,,,,,"0.00","T,,0,1800","0.0","T,,0,","0.0","T,,0,1800","52",",,0","16",",,0","16",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-21",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","22",",,0","8",",,0","14",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-22",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","31",",,0","12",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-23",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","31",",,0","17",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-24",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","33",",,0","14",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-25",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","42",",,0","20",",,0","27",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-26",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","34",",,0","16",",,0","24",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-27",,,,,,,"0.08",",,0,1800","1.0",",,0,","1.0",",I,0,1800","37",",,0","17",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-28",,,,,,,"0.68",",,0,1800","6.2",",I,0,","12.0",",I,0,1800","17",",,0","6",",,0","6",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-29",,,,,,,"1.03",",,0,1800","3.3",",,0,","8.0",",,0,1800","25",",,0","5",",,0","19",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-11-30",,,,,,,"0.28",",,0,1800","4.0",",,0,","10.0",",,0,1800","33",",,0","19",",,0","28",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-01",,,,,,,"0.76",",,0,1800","11.0",",,0,","18.0",",,0,1800","33",",,0","14",",,0","14",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-02",,,,,,,"0.00",",,0,1800","0.0",",,0,","16.0",",,0,1800","26",",,0","3",",,0","15",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-03",,,,,,,"0.00",",,0,1800","0.0","P,,0,","13.0",",,0,1800","49",",,0","14",",,0","35",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-04",,,,,,,"0.00",",,0,1800","0.0",",,0,","7.0",",,0,1800","47",",,0","32",",,0","39",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-05",,,,,,,"0.00",",,0,1800","0.0","P,,0,","7.0",",,0,1800","39",",,0","24",",,0","30",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-06",,,,,,,"0.12",",,0,1800","1.0",",,0,","8.0",",,0,1800","39",",,0","24",",,0","25",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-07",,,,,,,"1.16",",,0,1800","13.0",",,0,","22.0",",,0,1800","30",",,0","25",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-08",,,,,,,"0.76",",,0,1800","16.0",",,0,","34.0",",,0,1800","27",",,0","20",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-09",,,,,,,"0.31",",,0,1800","5.5",",,0,","34.0",",,0,1800","25",",,0","11",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-10",,,,,,,"0.00",",,0,1800","0.0","P,,0,","29.0",",,0,1800","26",",,0","2",",,0","13",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-11",,,,,,,"0.00",",,0,1800","0.0",",,0,","28.0",",,0,1800","20",",,0","4",",,0","8",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-12",,,,,,,"0.00",",,0,1800","0.0","P,,0,","24.0",",,0,1800","21",",,0","1",",,0","12",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-13",,,,,,,"0.04",",,0,1800","3.0",",,0,","26.0",",,0,1800","21",",,0","-9",",,0","-1",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-14",,,,,,,"0.15",",,0,1800","4.0",",,0,","26.0",",,0,1800","21",",,0","-9",",,0","3",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-15",,,,,,,"0.00","T,,0,1800","0.0","T,,0,","24.0",",,0,1800","21",",,0","0",",,0","19",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-16",,,,,,,"0.00",",,0,1800","0.0",",,0,","23.0",",,0,1800","34",",,0","14",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-17",,,,,,,"0.00",",,0,1800","0.0","P,,0,","23.0",",,0,1800","30",",,0","20",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-18",,,,,,,"0.00",",,0,1800","0.0",",,0,","19.0",",,0,1800","33",",,0","16",",,0","26",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-19",,,,,,,"0.76",",,0,1800","9.5",",,0,","31.0",",,0,1800","26",",,0","21",",,0","22",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-20",,,,,,,"1.46",",,0,1800","13.0",",,0,","42.0",",,0,1800","30",",,0","0",",,0","17",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-21",,,,,,,"1.00",",,0,1800","16.0",",,0,","52.0",",,0,1800","29",",,0","0",",,0","6",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-22",,,,,,,"0.00",",,0,1800","0.0",",,0,","46.0",",,0,1800","16",",,0","-4",",,0","9",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-23",,,,,,,"0.36",",,0,1800","3.0",",,0,","46.0",",,0,1800","19",",,0","4",",,0","18",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-24",,,,,,,"0.31",",,0,1800","4.0",",,0,","47.0",",,0,1800","32",",,0","16",",,0","16",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-25",,,,,,,"0.52",",,0,1800","8.0",",,0,","52.0",",,0,1800","16",",,0","3",",,0","3",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-26",,,,,,,"0.15",",,0,1800","2.0",",,0,","49.0",",,0,1800","16",",,0","-1",",,0","4",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-27",,,,,,,"0.09",",,0,1800","1.0",",,0,","49.0",",,0,1800","5",",,0","-4",",,0","-4",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-28",,,,,,,"0.11",",,0,1800","3.0",",,0,","51.0",",,0,1800","11",",,0","-6",",,0","9",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-29",,,,,,,"0.70",",,0,1800","7.4",",,0,","53.0",",,0,1800","15",",,0","7",",,0","14",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-30",,,,,,,"0.72",",,0,1800","9.0",",,0,","63.0",",,0,1800","21",",,0","9",",,0","9",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-12-31",,,,,,,"0.00","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,,,,,,,,,
